Порядковый номер,Район,Адрес,Количество видеокамер
14.120,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 14, корпус 1",11
14.121,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 16",8
14.122,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 16, корпус 3",4
14.123,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 16, корпус 3",16
14.124,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 2, литера Д",2
14.125,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 3, корпус 2",6
14.126,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 5, корпус 1",7
14.127,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 5, корпус 3",5
14.128,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 5, корпус 4",6
14.129,Петродворцовый район,"Ломоносов город, Федюнинского улица, дом 6",16
14.130,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 1",5
14.131,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 15",1
14.132,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 17",4
14.133,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 2",6
14.134,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 24",2
14.135,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 6",6
14.136,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 7",4
14.137,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 8, корпус 1",8
14.138,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 8, корпус 2",6
14.139,Петродворцовый район,"Ломоносов город, Швейцарская улица, дом 9",3
14.140,Петродворцовый район,"Петергоф город, Аврова улица, дом 11",3
14.141,Петродворцовый район,"Петергоф город, Аврова улица, дом 11а",3
14.142,Петродворцовый район,"Петергоф город, Аврова улица, дом 11б",2
14.143,Петродворцовый район,"Петергоф город, Аврова улица, дом 13а",3
14.144,Петродворцовый район,"Петергоф город, Аврова улица, дом 13б",1
14.145,Петродворцовый район,"Петергоф город, Аврова улица, дом 15",3
14.146,Петродворцовый район,"Петергоф город, Аврова улица, дом 15а",3
14.147,Петродворцовый район,"Петергоф город, Аврова улица, дом 15б",3
14.148,Петродворцовый район,"Петергоф город, Аврова улица, дом 17/1",3
14.149,Петродворцовый район,"Петергоф город, Аврова улица, дом 18",3
14.150,Петродворцовый район,"Петергоф город, Аврова улица, дом 19",5
14.151,Петродворцовый район,"Петергоф город, Аврова улица, дом 20",1
14.152,Петродворцовый район,"Петергоф город, Астрономическая улица, дом 4",5
14.153,Петродворцовый район,"Петергоф город, Бобыльская дорога, дом 17А",2
14.154,Петродворцовый район,"Петергоф город, Бобыльская дорога, дом 17б",2
14.155,Петродворцовый район,"Петергоф город, Бобыльская дорога, дом 63",2
14.156,Петродворцовый район,"Петергоф город, Бородачева улица, дом 12,",1
14.157,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 14, корпус 1",23
14.158,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 16, корпус 1",1
14.159,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 18, корпус 1",2
14.160,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 18, корпус 3",1
14.161,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 18, корпус 5",1
14.162,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 20, корпус 1",1
14.163,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 3, корпус 1",25
14.164,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 3, корпус 2",10
14.165,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 3, корпус 3",1
14.166,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 3, корпус 4",1
14.167,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 3, корпус 5",1
14.168,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 6",7
14.169,Петродворцовый район,"Петергоф город, Ботаническая улица, дом 8",7
14.170,Петродворцовый район,"Петергоф город, Братьев Горкушенко улица, дом 16/24",3
14.171,Петродворцовый район,"Петергоф город, Братьев Горкушенко улица, дом 22/31",4
14.172,Петродворцовый район,"Петергоф город, Братьев Горкушенко улица, дом 7",3
14.173,Петродворцовый район,"Петергоф город, Веденеева улица, дом 4",2
14.174,Петродворцовый район,"Петергоф город, Володи Дубинина улица, дом 12а",1
14.175,Петродворцовый район,"Петергоф город, Володи Дубинина улица, дом 6",5
14.176,Петродворцовый район,"Петергоф город, Гостилицкая улица, дом 2",1
14.177,Петродворцовый район,"Петергоф город, Гостилицкая улица, дом 5",1
14.178,Петродворцовый район,"Петергоф город, Гостилицкое шоссе, дом 131",6
14.179,Петродворцовый район,"Петергоф город, Гостилицкое шоссе, дом 19, корпус 1",3
14.180,Петродворцовый район,"Петергоф город, Гостилицкое шоссе, дом 23/1,",1
14.181,Петродворцовый район,"Петергоф город, Гостилицкое шоссе, дом 7, корпус 1",8
14.182,Петродворцовый район,"Петергоф город, Демьяна Бедного улица, дом 29",2
14.183,Петродворцовый район,"Петергоф город, Жарновецкого улица, дом 10",17
14.184,Петродворцовый район,"Петергоф город, Зверинская улица, дом 13",1
14.185,Петродворцовый район,"Петергоф город, Калининская улица, дом 7",10
14.186,Петродворцовый район,"Петергоф город, Конно-Гренадерская улица, дом 4/13",6
14.187,Петродворцовый район,"Петергоф город, Конно-Гренадерская улица, дом 5",1
14.188,Петродворцовый район,"Петергоф город, Константиновская улица, дом 1",6
14.189,Петродворцовый район,"Петергоф город, Константиновская улица, дом 14/11",2
14.190,Петродворцовый район,"Петергоф город, Константиновская улица, дом 2",3
14.191,Петродворцовый район,"Петергоф город, Константиновская улица, дом 4",3
14.192,Петродворцовый район,"Петергоф город, Красных Курсантов бульвар, дом 61а, строение 1",1
14.193,Петродворцовый район,"Петергоф город, Красных Курсантов бульвар, дом 67",2
14.194,Петродворцовый район,"Петергоф город, Красных Курсантов бульвар, дом 69",2
14.195,Петродворцовый район,"Петергоф город, Красных Курсантов бульвар, дом 71",1
14.196,Петродворцовый район,"Петергоф город, Михайловская улица, дом 15",2
14.197,Петродворцовый район,"Петергоф город, Михайловская улица, дом 5а",3
14.198,Петродворцовый район,"Петергоф город, Михайловская улица, дом 7",3
14.199,Петродворцовый район,"Петергоф город, Михайловская улица, дом 9",3
14.200,Петродворцовый район,"Петергоф город, Морского Десанта улица, дом 3, литера Б",8
14.201,Петродворцовый район,"Петергоф город, Никольская улица, дом 10",14
14.202,Петродворцовый район,"Петергоф город, Никольская улица, дом 2",1
14.203,Петродворцовый район,"Петергоф город, Никольская улица, дом 3",2
14.204,Петродворцовый район,"Петергоф город, Никольская улица, дом 4",3
14.205,Петродворцовый район,"Петергоф город, Никольская улица, дом 5",9
14.206,Петродворцовый район,"Петергоф город, Никольская улица, дом 5,",1
14.207,Петродворцовый район,"Петергоф город, Озерковая улица, дом 11",2
14.208,Петродворцовый район,"Петергоф город, Озерковая улица, дом 13",3
14.209,Петродворцовый район,"Петергоф город, Озерковая улица, дом 15",3
14.210,Петродворцовый район,"Петергоф город, Озерковая улица, дом 17",2
14.211,Петродворцовый район,"Петергоф город, Озерковая улица, дом 19",3
14.212,Петродворцовый район,"Петергоф город, Озерковая улица, дом 21",3
14.213,Петродворцовый район,"Петергоф город, Озерковая улица, дом 23",2
14.214,Петродворцовый район,"Петергоф город, Озерковая улица, дом 23а",8
14.215,Петродворцовый район,"Петергоф город, Озерковая улица, дом 27",3
14.216,Петродворцовый район,"Петергоф город, Озерковая улица, дом 29",2
14.217,Петродворцовый район,"Петергоф город, Озерковая улица, дом 3",2
14.218,Петродворцовый район,"Петергоф город, Озерковая улица, дом 45",1
14.219,Петродворцовый район,"Петергоф город, Озерковая улица, дом 49, корпус 2",6
14.220,Петродворцовый район,"Петергоф город, Озерковая улица, дом 5",3
14.221,Петродворцовый район,"Петергоф город, Озерковая улица, дом 51, корпус 1",3
14.222,Петродворцовый район,"Петергоф город, Озерковая улица, дом 7",3
14.223,Петродворцовый район,"Петергоф город, Ораниенбаумское шоссе, дом 11",1
14.224,Петродворцовый район,"Петергоф город, Парковая улица, дом 18",17
14.225,Петродворцовый район,"Петергоф город, Первого Мая улица, дом 3,",1
14.226,Петродворцовый район,"Петергоф город, Петергофская улица, дом 13, литера Д",3
14.227,Петродворцовый район,"Петергоф город, Петергофская улица, дом 15, литера В",3
14.228,Петродворцовый район,"Петергоф город, Петергофская улица, дом 4/2",1
14.229,Петродворцовый район,"Петергоф город, Петергофская улица, дом 7",2
14.230,Петродворцовый район,"Петергоф город, Правленская улица, дом 12",1
14.231,Петродворцовый район,"Петергоф город, Привокзальная площадь, дом 1",3
14.232,Петродворцовый район,"Петергоф город, Привокзальная площадь, дом 7",7
14.233,Петродворцовый район,"Петергоф город, Привокзальная площадь, дом 7, литера Б",1
14.234,Петродворцовый район,"Петергоф город, Пролётная улица, дом 3",7
14.235,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 10",3
14.236,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 14",3
14.237,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 16",2
14.238,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 18",3
14.239,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 2/5",2
14.240,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 20",3
14.241,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 22",2
14.242,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 3",4
14.243,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 4",3
14.244,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 5",4
14.245,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 6",3
14.246,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 7",3
14.247,Петродворцовый район,"Петергоф город, Путешественника Козлова улица, дом 8",2
14.248,Петродворцовый район,"Петергоф город, Разведчика бульвар, дом 10, корпус 3",9
14.249,Петродворцовый район,"Петергоф город, Разведчика бульвар, дом 14, корпус 1",4
14.250,Петродворцовый район,"Петергоф город, Разведчика бульвар, дом 14, корпус 5",15
14.251,Петродворцовый район,"Петергоф город, Разведчика бульвар, дом 16, корпус 1",1
14.252,Петродворцовый район,"Петергоф город, Разведчика бульвар, дом 6, корпус 5",20
14.253,Петродворцовый район,"Петергоф город, Разводная улица, дом 12",3
14.254,Петродворцовый район,"Петергоф город, Разводная улица, дом 15, литера О",1
14.255,Петродворцовый район,"Петергоф город, Разводная улица, дом 17",1
14.256,Петродворцовый район,"Петергоф город, Разводная улица, дом 2",2
14.257,Петродворцовый район,"Петергоф город, Разводная улица, дом 23",4
14.258,Петродворцовый район,"Петергоф город, Разводная улица, дом 27",9
14.259,Петродворцовый район,"Петергоф город, Разводная улица, дом 27, литера Б",4
14.260,Петродворцовый район,"Петергоф город, Разводная улица, дом 29",3
14.261,Петродворцовый район,"Петергоф город, Разводная улица, дом 35",4
14.262,Петродворцовый район,"Петергоф город, Разводная улица, дом 37",4
14.263,Петродворцовый район,"Петергоф город, Разводная улица, дом 5/1",10
14.264,Петродворцовый район,"Петергоф город, Ропшинское шоссе, дом 3",1
14.265,Петродворцовый район,"Петергоф город, Ропшинское шоссе, дом 4",1
14.266,Петродворцовый район,"Петергоф город, Ропшинское шоссе, дом 8",21
14.267,Петродворцовый район,"Петергоф город, Самсониевская улица, дом 3",2
14.268,Петродворцовый район,"Петергоф город, Самсониевская улица, дом 9",5
14.269,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 14",1
14.270,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 30",4
14.271,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 34",1
14.272,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 4",6
14.273,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 41",2
14.274,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 43",8
14.275,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 48",2
14.276,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 49/9",1
14.277,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 4а, литера Б",6
14.278,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 5,",1
14.279,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 6/6",6
14.280,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 60",1
14.281,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 60, литера Ю",1
14.282,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 61",12
14.283,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 64, сооружение 1",2
14.284,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 6а",4
14.285,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 8/9",1
14.286,Петродворцовый район,"Петергоф город, Санкт-Петербургский проспект, дом 9",3
14.287,Петродворцовый район,"Петергоф город, Санкт-Петербургское шоссе, дом 121, корпус 2",1
14.288,Петродворцовый район,"Петергоф город, Санкт-Петербургское шоссе, дом 130, литера В",1
14.289,Петродворцовый район,"Петергоф город, Собственный проспект, дом 1",1
14.290,Петродворцовый район,"Петергоф город, Собственный проспект, дом 34",6
14.291,Петродворцовый район,"Петергоф город, Собственный проспект, дом 5",2
14.292,Петродворцовый район,"Петергоф город, Суворовская улица, дом 3, корпус 1",2
14.293,Петродворцовый район,"Петергоф город, Суворовская улица, дом 3, корпус 2",2
14.294,Петродворцовый район,"Петергоф город, Суворовская улица, дом 3, корпус 5",3
14.295,Петродворцовый район,"Петергоф город, Суворовская улица, дом 5, корпус 1",2
14.296,Петродворцовый район,"Петергоф город, Суворовская улица, дом 5, корпус 4",1
14.297,Петродворцовый район,"Петергоф город, Суворовская улица, дом 7, корпус 1",2
14.298,Петродворцовый район,"Петергоф город, Суворовская улица, дом 7, корпус 2",2
14.299,Петродворцовый район,"Петергоф город, Суворовская улица, дом 7, корпус 5",2
14.300,Петродворцовый район,"Петергоф город, Суворовский городок, дом 17",10
14.301,Петродворцовый район,"Петергоф город, Торговая площадь",6
14.302,Петродворцовый район,"Петергоф город, Торговая площадь, дом 1",1
14.303,Петродворцовый район,"Петергоф город, Торговая площадь, дом 4",3
14.304,Петродворцовый район,"Петергоф город, Торговая площадь, дом 5",1
14.305,Петродворцовый район,"Петергоф город, Торговая площадь, дом 8",3
14.306,Петродворцовый район,"Петергоф город, Университетский проспект, дом 2/18",12
14.307,Петродворцовый район,"Петергоф город, участок ж. Д. ""Английский пруд - граница г.Ломоносова"", литера И",1
14.308,Петродворцовый район,"Петергоф город, Халтурина улица, дом 1",1
14.309,Петродворцовый район,"Петергоф город, Халтурина улица, дом 11",4
14.310,Петродворцовый район,"Петергоф город, Халтурина улица, дом 13",1
14.311,Петродворцовый район,"Петергоф город, Халтурина улица, дом 13а",14
14.312,Петродворцовый район,"Петергоф город, Халтурина улица, дом 15, корпус 4",4
14.313,Петродворцовый район,"Петергоф город, Халтурина улица, дом 3",4
14.314,Петродворцовый район,"Петергоф город, Халтурина улица, дом 5",4
14.315,Петродворцовый район,"Петергоф город, Царицынская улица, дом 1",1
14.316,Петродворцовый район,"Петергоф город, Царицынская улица, дом 2",7
14.317,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 1, корпус 1",6
14.318,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 1, корпус 2",2
14.319,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 10, корпус 1",2
14.320,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 10, корпус 2",2
14.321,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 10, корпус 3",3
14.322,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 11",10
14.323,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 12, корпус 1",4
14.324,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 12, корпус 2",1
14.325,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 12, корпус 3",4
14.326,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 13",25
14.327,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 14, корпус 1",7
14.328,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 14, корпус 2",6
14.329,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 3, корпус 1",5
14.330,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 3, корпус 2",2
14.331,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 4, корпус 1",5
14.332,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 4, корпус 2",2
14.333,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 4, корпус 3",2
14.334,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 5, корпус 1",7
14.335,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 6/12",5
14.336,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 7, корпус 1",5
14.337,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 8, корпус 1",8
14.338,Петродворцовый район,"Петергоф город, Чебышевская улица, дом 8, корпус 2",2
14.339,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 11, корпус 1",3
14.340,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 11, корпус 2",3
14.341,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 11, корпус 3",1
14.342,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 11, корпус 4",4
14.343,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 13, корпус 1",4
14.344,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 13, корпус 2",1
14.345,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 13, корпус 3",1
14.346,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 3, корпус 1",2
14.347,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 3, корпус 2",2
14.348,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 5, корпус 1",4
14.349,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 5, корпус 2",3
14.350,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 7, корпус 1",4
14.351,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 9, корпус 1",3
14.352,Петродворцовый район,"Петергоф город, Чичеринская улица, дом 9, корпус 2",2
14.353,Петродворцовый район,"Петергоф город, Шахматова улица, дом 10",4
14.354,Петродворцовый район,"Петергоф город, Шахматова улица, дом 10, корпус 1",27
14.355,Петродворцовый район,"Петергоф город, Шахматова улица, дом 12, корпус 1",1
14.356,Петродворцовый район,"Петергоф город, Шахматова улица, дом 12, корпус 2",2
14.357,Петродворцовый район,"Петергоф город, Шахматова улица, дом 12, корпус 3",7
14.358,Петродворцовый район,"Петергоф город, Шахматова улица, дом 12, корпус 4, литера Б",3
14.359,Петродворцовый район,"Петергоф город, Шахматова улица, дом 14",6
14.360,Петродворцовый район,"Петергоф город, Шахматова улица, дом 14, корпус 1",5
14.361,Петродворцовый район,"Петергоф город, Шахматова улица, дом 16",9
14.362,Петродворцовый район,"Петергоф город, Шахматова улица, дом 16, корпус 1",27
14.363,Петродворцовый район,"Петергоф город, Шахматова улица, дом 16, корпус 2",2
14.364,Петродворцовый район,"Петергоф город, Шахматова улица, дом 16, корпус 3",3
14.365,Петродворцовый район,"Петергоф город, Шахматова улица, дом 2, корпус 1",7
14.366,Петродворцовый район,"Петергоф город, Шахматова улица, дом 4, корпус 1",5
14.367,Петродворцовый район,"Петергоф город, Шахматова улица, дом 4, корпус 2",2
14.368,Петродворцовый район,"Петергоф город, Шахматова улица, дом 6, корпус 1",5
14.369,Петродворцовый район,"Петергоф город, Широкая улица, дом 1",2
14.370,Петродворцовый район,"Петергоф город, Эйхенская улица, дом 19",4
14.371,Петродворцовый район,"Петергоф город, Эйхенская улица, дом 21, литера Б",8
14.372,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 1/35",7
14.373,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 10",3
14.374,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 12, корпус 2",5
14.375,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 12/2, литера Б",2
14.376,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 14",6
14.377,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 16",6
14.378,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 18",8
14.379,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 2",4
14.380,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 20",18
14.381,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 22",6
14.382,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 24",5
14.383,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 4",3
14.384,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 6",3
14.385,Петродворцовый район,"Петергоф город, Эрлеровский бульвар, дом 8",3
14.386,Петродворцовый район,"Петергоф город, Юты Бондаровской улица, дом 17, корпус 1",3
14.387,Петродворцовый район,"Петергоф город, Юты Бондаровской улица, дом 19, корпус 2",4
14.388,Петродворцовый район,"Петергоф город, Юты Бондаровской улица, дом 19, корпус 3",5
14.389,Петродворцовый район,"Петергоф город, Юты Бондаровской улица, дом 20",1
14.390,Петродворцовый район,"Стрельна посёлок, Вокзальная улица, дом 2",1
14.391,Петродворцовый район,"Стрельна посёлок, Волхонское шоссе, дом 26",2
14.392,Петродворцовый район,"Стрельна посёлок, Волхонское шоссе, дом 6",1
14.393,Петродворцовый район,"Стрельна посёлок, Нижняя Колония улица, дом 22",1
14.394,Петродворцовый район,"Стрельна посёлок, Фронтовая улица, дом 10",3
14.395,Петродворцовый район,"Стрельна посёлок, Фронтовая улица, дом 30",2
14.396,Петродворцовый район,"Стрельна посёлок, Волхонское шоссе, дом 26",20
14.397,Петродворцовый район,"Стрельна посёлок, Глинки улица, дом 1",1
14.398,Петродворцовый район,"Стрельна посёлок, Гоголя улица, дом 4",1
14.399,Петродворцовый район,"Стрельна посёлок, Кропоткинская улица, дом 10",20
14.400,Петродворцовый район,"Стрельна посёлок, Кропоткинская улица, дом 13/1",1
14.401,Петродворцовый район,"Стрельна посёлок, Львовская улица, дом 19, корпус 2",2
14.402,Петродворцовый район,"Стрельна посёлок, Львовская улица, дом 2",1
14.403,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 102а",8
14.404,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 104",2
14.405,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 106/2",1
14.406,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 108",1
14.407,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 109/1",2
14.408,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 15",2
14.409,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 38",1
14.410,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 52/2",1
14.411,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 56б",2
14.412,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 56в",1
14.413,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 63",1
14.414,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 63, литера Б",1
14.415,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 66/1",2
14.416,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 68/2",2
14.417,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 69",1
14.418,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 77",2
14.419,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 8",1
14.420,Петродворцовый район,"Стрельна посёлок, Санкт-Петербургское шоссе, дом 82",3
14.421,Петродворцовый район,"Стрельна посёлок, Театральная аллея, дом 19",1
14.422,Петродворцовый район,"Стрельна посёлок, Театральная аллея, дом 21",1
14.423,Петродворцовый район,"Стрельна посёлок, Фронтовая улица, дом 7",1
14.424,Петродворцовый район,"Стрельна посёлок, Фронтовая улица, дом 8",13
14.425,Петродворцовый район,"Стрельна посёлок, Фронтовая улица, дом 8а",1
15.1,Приморский район,"Авиаконструкторов проспект, дом 1",7
15.2,Приморский район,"Авиаконструкторов проспект, дом 13",17
15.3,Приморский район,"Авиаконструкторов проспект, дом 13, корпус 2",10
15.4,Приморский район,"Авиаконструкторов проспект, дом 14",4
15.5,Приморский район,"Авиаконструкторов проспект, дом 16, корпус 1",2
15.6,Приморский район,"Авиаконструкторов проспект, дом 17, корпус 1",1
15.7,Приморский район,"Авиаконструкторов проспект, дом 17, корпус 2",11
15.8,Приморский район,"Авиаконструкторов проспект, дом 2",4
15.9,Приморский район,"Авиаконструкторов проспект, дом 20, корпус 3",6
15.10,Приморский район,"Авиаконструкторов проспект, дом 21, корпус 1",1
15.11,Приморский район,"Авиаконструкторов проспект, дом 21, корпус 2",4
15.12,Приморский район,"Авиаконструкторов проспект, дом 22",4
15.13,Приморский район,"Авиаконструкторов проспект, дом 22, корпус 1",1
15.14,Приморский район,"Авиаконструкторов проспект, дом 23, корпус 1",2
15.15,Приморский район,"Авиаконструкторов проспект, дом 23, корпус 2",4
15.16,Приморский район,"Авиаконструкторов проспект, дом 28",4
15.17,Приморский район,"Авиаконструкторов проспект, дом 29, корпус 3",4
15.18,Приморский район,"Авиаконструкторов проспект, дом 3, корпус 1",8
15.19,Приморский район,"Авиаконструкторов проспект, дом 3, корпус 2",12
15.20,Приморский район,"Авиаконструкторов проспект, дом 35, корпус 2",11
15.21,Приморский район,"Авиаконструкторов проспект, дом 37, корпус 2",4
15.22,Приморский район,"Авиаконструкторов проспект, дом 4",4
15.23,Приморский район,"Авиаконструкторов проспект, дом 4, корпус 1",13
15.24,Приморский район,"Авиаконструкторов проспект, дом 4, корпус 2",11
15.25,Приморский район,"Авиаконструкторов проспект, дом 42, корпус 2",2
15.26,Приморский район,"Авиаконструкторов проспект, дом 45, корпус 1",4
15.27,Приморский район,"Авиаконструкторов проспект, дом 47",5
15.28,Приморский район,"Авиаконструкторов проспект, дом 49",4
15.29,Приморский район,"Авиаконструкторов проспект, дом 8, корпус 1",2
15.30,Приморский район,"Авиаконструкторов проспект, дом 9",2
