Порядковый номер,Район,Адрес,Количество видеокамер
1.213,Адмиралтейский район,"Грибоедова канала набережная, дом 85/9",1
1.214,Адмиралтейский район,"Грибоедова канала набережная, дом 94",2
1.215,Адмиралтейский район,"Грибоедова канала набережная, дом 95",1
1.216,Адмиралтейский район,"Грибоедова канала набережная, дом 97",1
1.217,Адмиралтейский район,"Гривцова переулок, дом 1/64",1
1.218,Адмиралтейский район,"Гривцова переулок, дом 13/11",2
1.219,Адмиралтейский район,"Гривцова переулок, дом 18",2
1.220,Адмиралтейский район,"Гривцова переулок, дом 26",1
1.221,Адмиралтейский район,"Гривцова переулок, дом 9",1
1.222,Адмиралтейский район,"Гутуевский мост,",4
1.223,Адмиралтейский район,Дворцовый мост,4
1.224,Адмиралтейский район,"Дворцовый мост,",4
1.225,Адмиралтейский район,"Декабристов площадь, дом 1,",1
1.226,Адмиралтейский район,"Декабристов улица, дом 1-3",6
1.227,Адмиралтейский район,"Декабристов улица, дом 14/7",2
1.228,Адмиралтейский район,"Декабристов улица, дом 15",8
1.229,Адмиралтейский район,"Декабристов улица, дом 22-24",4
1.230,Адмиралтейский район,"Декабристов улица, дом 29, литера Г",1
1.231,Адмиралтейский район,"Декабристов улица, дом 31",1
1.232,Адмиралтейский район,"Декабристов улица, дом 33",1
1.233,Адмиралтейский район,"Декабристов улица, дом 36/1",2
1.234,Адмиралтейский район,"Декабристов улица, дом 37",3
1.235,Адмиралтейский район,"Декабристов улица, дом 48",1
1.236,Адмиралтейский район,"Декабристов улица, дом 52",2
1.237,Адмиралтейский район,"Декабристов улица, дом 54, литера В",3
1.238,Адмиралтейский район,"Декабристов улица, дом 57",7
1.239,Адмиралтейский район,"Декабристов улица, дом 6",8
1.240,Адмиралтейский район,"Декабристов улица, дом 62-64",5
1.241,Адмиралтейский район,"Декабристов улица, дом 62-64,",1
1.242,Адмиралтейский район,"Дерптский переулок, дом 15",3
1.243,Адмиралтейский район,"Дровяная улица, дом 6",3
1.244,Адмиралтейский район,"Дровяной переулок, дом 5",2
1.245,Адмиралтейский район,"Дровяной переулок, дом 6",6
1.246,Адмиралтейский район,"Дровяной переулок, дом 7",6
1.247,Адмиралтейский район,"Егорова улица, дом 14",11
1.248,Адмиралтейский район,"Егорова улица, дом 24",3
1.249,Адмиралтейский район,Екатерингофский мост,1
1.250,Адмиралтейский район,"Ефимова улица, дом 1/4",6
1.251,Адмиралтейский район,"Ефимова улица, дом 2",2
1.252,Адмиралтейский район,"Ефимова улица, дом 2,",2
1.253,Адмиралтейский район,"Ефимова улица, дом 4А",1
1.254,Адмиралтейский район,"Ефимова улица, дом 5",12
1.255,Адмиралтейский район,"Ефимова улица, дом 6",4
1.256,Адмиралтейский район,"Загородный проспект, дом 37/70",2
1.257,Адмиралтейский район,"Загородный проспект, дом 41-43",2
1.258,Адмиралтейский район,"Загородный проспект, дом 45",3
1.259,Адмиралтейский район,"Загородный проспект, дом 46,",3
1.260,Адмиралтейский район,"Загородный проспект, дом 47, литера С",2
1.261,Адмиралтейский район,"Загородный проспект, дом 52",4
1.262,Адмиралтейский район,"Загородный проспект, дом 52а",4
1.263,Адмиралтейский район,"Загородный проспект, дом 64",1
1.264,Адмиралтейский район,"Звенигородская улица, дом 3",4
1.265,Адмиралтейский район,"Измайловский проспект, дом 9/2",1
1.266,Адмиралтейский район,"Измайловский проспект, дом 9/2Б",1
1.267,Адмиралтейский район,"Измайловский проспект, дом 1",2
1.268,Адмиралтейский район,"Измайловский проспект, дом 10",3
1.269,Адмиралтейский район,"Измайловский проспект, дом 24/161",3
1.270,Адмиралтейский район,"Измайловский проспект, дом 24/161,",1
1.271,Адмиралтейский район,"Измайловский проспект, дом 3",4
1.272,Адмиралтейский район,"Измайловский проспект, дом 31",3
